"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 24 Jan to 23 Feb 17","","","0.55","23-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 24 Jan to 23 Feb 17","","","0.32","23-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 21 Feb 17","","","46.00","21-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 23 Mar 17","","","23.00","23-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Software reimbursement 2016/17","","","1,500.00","01-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Nov to 23 Dec 16","","","18.02","23-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Nov to 23 Dec 16","","","1.94","23-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Dec 16 to 23 Jan 17","","","1.80","24-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Dec 16 to 23 Jan 17","","","0.25","24-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","1,818.18","31-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution late payment fee Jan 17","","","15.00","01-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Jan to 31 Jan 17","","","-45.45","31-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Web-services 1 Apr to 31 Jul 16","","","708.00","31-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 31 Jul 16","","","300.79","31-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Web-services 7 Sep 16","","","164.70","07-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Web-services 9 Sep 16","","","202.50","09-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 31 Oct 16","","","252.53","31-Oct-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Nov to 30 Nov 16","","","4,816.82","30-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution credit 1 Nov to 30 Nov 16","","","-90.91","30-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution late payment fee Nov 16","","","15.00","01-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 30 Nov 16","","","299.71","30-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution credit 1 Dec to 31 Dec 16","","","-28.05","31-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution late payment fee Dec 16","","","15.00","01-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","95.73","31-Dec-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","Administrative fees 2 Jan to 29 Jan 17","","","17.42","29-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","18 The Australian Financial Review 2 Jan to 29 Jan 17","","","65.45","29-Jan-2017","",""
